name,description,instructor,rating,reviews,total_hours,num_of_lectures,difficulty,price,badge
Mongo GoLang Go Python PHP Node React Management Interface,With a 3D React Interface,Zach LaCourse,5.0,2,24.5 total hours,124,All Levels,149000,-
Best WordPress Course - Every Topic Covered Under 5 Hours,"One of the fastest WordPress Courses, Covered all major and additional topics under just 5 hours!",Kritish Chopra,5.0,2,4.5 total hours,24,All Levels,149000,-
JavaScript for Absolute Beginners,Learn all the basic concepts to get into JavaScript development,Ali Abdulrahman,5.0,3,5.5 total hours,91,Beginner,149000,-
Hands-on .NET Web API Documentation with Swagger/OpenAPI,"Documenting ASP.NET Core Web API with Swashbuckle, NSwag, Swagger, and OpenAPI through a step-by-step approach.",Praveenkumar Bouna,5.0,2,3.5 total hours,54,Intermediate,149000,Hot & new
Complete Web Developers Bootcamp - Noob to Pro,Everything you need to know... in ONE course!,Chris Hawkes,5.0,1,17.5 total hours,138,Beginner,149000,-
Java Bootcamp 2021: 10 Web Application Development Projects,"Comprehensive programming Course, Build 10 Real World Projects Using Java JSP, JDBC, Servlets, Swing, Maven, Spring Boot",Engineering .Org.In,5.0,8,18.5 total hours,83,All Levels,149000,New
"Richard Stibbard's ""Practical MySQL""",All the MySQL you need to get you going with working with the database behind a dynamic website.,Richard Stibbard,5.0,25,6.5 total hours,99,All Levels,149000,Highest rated
Application Development with Node.js: 2-in-1,"Build highly scalable, developer-friendly APIs for the modern web",Packt Publishing,5.0,1,6 total hours,80,Intermediate,149000,-
Integrate WebCam Features Into Your Web App Using FREE Codes,"Build a simple web application and integrate webcam features into it using FREE JavaScript, CSS, PHP and MySQL Database",Michael Enyichi Nwuzor,5.0,1,2 total hours,14,All Levels,149000,-
Build a Calculator Web App using Python (Flask),Learn Python's Flask Framework By Creating a Calculator Web App,Mustafa Alawi,5.0,2,2.5 total hours,33,Beginner,699000,-
Bootstrap: One Stop Guide to Bootstrap: 3-in-1,Speed up front-end development and prototyping through real-life examples,Packt Publishing,5.0,1,4 total hours,58,Beginner,149000,-
CSS Grid: The Complete Guide,Learn how to create and use CSS Grids,Sergey Shtyrlov,5.0,3,6 total hours,43,Beginner,149000,-
"Build Result System, Certificate Generator and CBT Using PHP",You will learn how to build complete result processing system with automated certificate system and cbt: 2020,Olawuyi Segun Orisunola,5.0,17,17 total hours,169,All Levels,149000,-
Complete WordPress website course to sell music downloads,Build a WordPress website to sell digital music downloads on autopilot. Beginner to Pro complete WordPress materclass,James Brookes,5.0,3,4.5 total hours,32,All Levels,149000,-
Learn JAMStack,"Build websites that are simpler, faster, and more secure",Tech Vista,5.0,1,3.5 total hours,29,All Levels,149000,-
"Shopify App Development - Vanilla PHP, GraphQL, & REST API","Learn Shopify app development & create Shopify apps using Vanilla PHP, GraphQL, REST API, and more!",Bernard Polidario,5.0,6,7.5 total hours,40,All Levels,149000,New
Start a Professional Blog with WordPress - Step 1 to DONE,"Create a Niche Website with the BaseWP (Free), WordPress and Bluehost",David Utke,5.0,1,1.5 total hours,20,Beginner,149000,-
Innovating with Biomathematics,The challenge of building user-friendly interfaces for computational biology,"Jorge Guerra Pires, Theoretical and Mathematical biology",5.0,1,3 total hours,40,All Levels,149000,-
Vue js 3 - The Practical Guide (2021),Learn how to build user interfaces and web applications with Vue js 3 using options API and composition API,Eding Muhamad Saprudin,5.0,2,7.5 total hours,61,All Levels,149000,New
JavaScript Masterclass: Build Powerful Web App Projects,"Modern HTML5, CSS3, VanillaJS, Bootstrap and JavaScript to build Responsive and Mobile Friendly Web Development project",Pianalytix .,5.0,1,4.5 total hours,50,All Levels,149000,-
Modern HTML CSS Projects-Video Background Glass Morphism CSS,"Modern HTML,CSS Video Background website & Projects| Learn through modern and latest HTML, CSS, Bootstrap Projects 2021.",Abdul Qadeer,5.0,8,5.5 total hours,53,Intermediate,149000,-
RabbitMQ Messaging With Java (Spring Boot) From Zero To Hero,"AMQP, Queue, Exchange, Highly Availability, Clustering, Shovel, Federation, Binding, Asynchronous Messaging, Fanout",Senol Atac,5.0,1,4.5 total hours,54,All Levels,149000,Hot & new
Ruby on Rails 5 Masterclass: Build Ajax web app from scratch,"Learn Rails fundamental and how to build ajax web based application from scratch with Rails 5, Boostrap, jQuery",Eding Muhamad Saprudin,5.0,55,6.5 total hours,68,All Levels,149000,Highest rated
Two-layered online form validation with jQuery and PHP,Learn how to apply two layers of validation to your online forms with this jQuery form validation tutorial,Sebastian Sulinski,5.0,6,1 total hour,18,All Levels,279000,-
Zend Framework Certification Practice Exam,Test your knowledge and prepare to take the official exam,Exware ID,5.0,1,-,-,Beginner,149000,-
Angular with PHP - build a SPA application,Apply modern programming techniques in practice by creating Single Page Application using Angular and PHP,Nevyan Neykov,5.0,1,1.5 total hours,17,All Levels,149000,-
Ruby On Rails series - MVP - Case study - Warehouse,A MVP on hotel’s warehouse management to validate the project’s feasibility and guarantee its success.,"Alessandra Santos Dias, Jorge Luiz Ferreira Dias",5.0,1,40 total mins,14,Intermediate,149000,-
jQuery - from zero to hero,For all who always wanted to learn jQuery,Tim Forest,5.0,1,12.5 total hours,158,All Levels,149000,-
Bootstrap 4 from Scratch,Learn the Bootstrap 4 framework and build amazing websites with top quality,Victor Bastos,5.0,2,3 total hours,21,Beginner,149000,-
HTML & CSS for Normal People,Project-based learning for fron-end web development,Leo Urushibata,5.0,1,2.5 total hours,42,Beginner,149000,-
WordPress Security: Protect your website from being hacked,"More than 30,000 sites are hacked everyday - don't be in one of them! Just not protect WordPress, in-fact hide WordPress",Saujan Man Pradhan,5.0,1,1.5 total hours,20,All Levels,149000,-
Learn PHP and MYSQL- Build a Customer Loyalty Reward System.,"Lets learn how to build a customer loyalty reward system in HTML5, CSS3, JavaScript, jQuery, PHP and MYSQL.",Alex Mureithi Njagi,5.0,7,13.5 total hours,77,Beginner,149000,-
Learn Alpine.js: Up & Running with Alpine.js v3,"Learn all about version 3 of the new, lightweight, JavaScript framework.",Koen Woortman,5.0,1,39 total mins,14,Beginner,149000,New
Learn CodeIgniter 4 API Development Tutorial Step by Step,"Complete API Development Guide Using Basic, JWT Authentication",Online Web Tutor,5.0,1,7.5 total hours,50,All Levels,149000,-
Learn TypeORM for NestJS Fast,Learn the basics of TypeORM development for NestJS,CodeBrains.IO Tech Training,5.0,2,1 total hour,19,Beginner,149000,New
The Ultimate YAML Course - Learn YAML from Scratch,"YAML tutorial for working with OpenAPI Specification, Swagger Tools, Azure DevOps, Kubernetes - the list goes on!",Praveenkumar Bouna,5.0,1,2.5 total hours,42,Beginner,149000,New
Mastering Spring Boot: A to Z,Leverage the rich Spring ecosystem to create complex and secure applications with Spring Boot,Charles Malott,5.0,4,6.5 total hours,91,All Levels,149000,New
PHP for Beginners 2021: Part 4 - Build a Game,"Use HTML, CSS, PHP and the HTML5 canvas to create a simple Hangman game",Patrick Morrow,5.0,2,4.5 total hours,47,Beginner,149000,Hot & new
Building and Managing Web Applications in AWS,Accelerate your Web Application deployment and migration using AWS cloud tools,Khalil Security,5.0,2,2.5 total hours,10,All Levels,149000,-
Fundamentals Of HTML 2021,Learn Basics of HTML Programming from Scratch,Siddhant Bedmutha,5.0,1,2.5 total hours,10,Beginner,149000,-
Laravel From A to Z,Laravel | Create a Complete Website,Mustafa Alawi,5.0,3,7 total hours,84,Beginner,699000,-
The Bootstrap 4 From Scratch With Real Projects,"Learn Flexbox, HTML5, CSS3 & Bootstrap build responsive websites and master Bootstrap 4 with my Bootstrap course",Oak Academy,5.0,23,7.5 total hours,65,All Levels,149000,Highest rated
Build Task Management Web App using Laravel,Create Your Own Task Management System,Mustafa Alawi,5.0,4,3 total hours,33,Intermediate,1099000,-
Complete ASP.NET MVC Course with Real World Practices,"Learn MVC with hands-on examples, build secure web applications with ASP.NET MVC and C#, become web developer with MVC",Oak Academy,5.0,30,19 total hours,127,All Levels,149000,Highest rated
Let’s Build Doctors - Patient Management Web App Together,Uncovering how to create an actively in-use web application.,Gorjan Mishevski,5.0,1,2.5 total hours,39,All Levels,149000,-
Host websites for (Dev/Test/Prod) at home or small office,Host/Build/Test any website or business application from home or small office and save time and finance!,David Soden,5.0,4,5 total hours,41,All Levels,149000,-
JavaScript Regular Expressions (regex) with Projects [New],"Hands-on Input Validation, Data Parsing, Transformation, Cleanup - Use in Angular, React, Vue and Node.js apps",Chandra Lingam,5.0,7,3.5 total hours,64,All Levels,149000,-
Node.JS Express Security: Authentication and Authorization,Mastering authentication and authorization with Node.JS Express,Agus Kurniawan,5.0,1,2 total hours,21,All Levels,149000,-
"Create easy leadin pages, surveys & scarcity to your WP","Skyrocket Your Clicks, Sales, survey your audience and collect new leads by keeping distractions low and engagement high","Fadwa Soliman, Kenz Soliman",5.0,7,34 total mins,8,Beginner,149000,-
Vue JS 2 - Beginners Guide To Fundamentals March 2019,Learn Vue JS the practical way with examples.,Vamshi Krishna,5.0,2,2.5 total hours,24,Beginner,149000,-
"Build Self Order Kiosk Like Mcdonalds (React Context, MUI)",Be master in react context and hooks step by step in a real world project,Bassir Jafarzadeh,5.0,2,3 total hours,14,All Levels,149000,-
Laravel From The Basics to Build Large Apps and Rest APIs,"learn the php framework laravel,the tutorial starts from the very basics to build complex applications",Mohamed Jolti,5.0,1,6.5 total hours,40,All Levels,149000,-
Vue 3 Essentials,Build The Solid Foundation of Vue Skills to Take Your Web Development to a Next Level,Mayank Chaudhari,5.0,6,5 total hours,48,All Levels,149000,-
How to Create a WordPress Blog from Scratch with Divi,Learn how to build your very own WordPress blog with the powerful & easy-to-use Divi theme and get started blogging!,Benny Kick,5.0,4,5.5 total hours,44,All Levels,149000,-
React for the Absolute Beginner - ReactJS App Fundamentals,"Components, Virtual DOM, State, Controls, APIs, JSON, Developer Tools, Bootstrap Design and Django Framework Integration","Nick Walter, Mohammad Azam",5.0,3,5 total hours,51,Beginner,149000,New
Salesforce Javascript Certification-Lightning Web Components,Learn the LWC framework and prepare to complete your JavaScript specialist super-badge ASAP.,Matthew Semroska,5.0,2,3.5 total hours,29,Intermediate,149000,New
Java Programming 2021: 10 Powerful Web Development Projects,"Java Web Application Development Course, Learn To Build Java Projects Using JSP, JDBC, Servlets,Swing,Maven, Spring Boot",Engineering .Org.In,5.0,9,18 total hours,82,Beginner,149000,New
Database performance for Hibernate developers,"DB performance tuning in applications that use Spring Data JPA. Learn SQL tuning, indexes, Hibernate best practices.",Arkadiusz Fronc,5.0,1,4.5 total hours,35,All Levels,149000,New
WooCommerce WordPress Ecommerce Course. Master it in 2 hrs!,Make a great Ecommerce Website using WordPress WooCommerce Plugin. Super course with step by step process explaination.,Academy365 .NET,5.0,9,2.5 total hours,16,Beginner,149000,-
Complete Spring Batch Masterclass: A to Z,"Learn how to implement a robust, scalable, distributed batch processing system using open-source frameworks",Carlo Dinkel,5.0,8,5 total hours,54,All Levels,149000,New
Fullstack Laravel API development with Nuxt and Linux - 2020,"Become a Fullstack Laravel Engineer by developing a Dribbble Clone, Provisioning a server and Deploying with SSL",Neba Funwi-gabga,5.0,168,19 total hours,145,All Levels,149000,Highest rated
Wordpress Plugin Development with Angular.js (2021),How to develop a plugin for Wordpress with AngularJS 1.8,Guillaume Duhan,5.0,14,1 total hour,9,Beginner,149000,Highest rated
Bootstrap Practice Exams for Certification and Interviews,Take Bootstrap Practice Exams,Ahmed Magdy,5.0,6,-,-,Intermediate,149000,-
