name,description,instructor,rating,reviews,total_hours,num_of_lectures,difficulty,price,badge
NetBeans | Your Basic Java Programming Course,Take the first step into the world of programming!,Programming Tut,4.5,15,1.5 total hours,16,Beginner,149000,Highest rated
Creative CSS and Javascript Effects and Animation,Awesome Website Background Animation Effects using CSS & Vanilla Javascript,Md Irshad Ansari,4.5,46,1.5 total hours,13,Intermediate,149000,-
Develop RESTful Java Web Services using JAX-RS and Jersey,Everything you need to know for developing your RESTful web service.,Vinod Kumar Kayartaya,4.5,148,2 total hours,30,All Levels,149000,-
Learn and Understand AngularJS,"Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.",Anthony Alicea,4.5,20145,7 total hours,55,All Levels,149000,Bestseller
Javascript from Basic to Advanced,Learn Javascript - Every module feature demonstrated with real-time examples,Sandeep Soni,4.5,26,6 total hours,20,Beginner,159000,-
HTML Email Mastery - Build Responsive HTML Email Templates,Learn how to Build Responsive Dark Mode Friendly HTML Email Templates tested on 82+ email clients including Outlook.,Drew Ryan,4.5,364,3.5 total hours,33,All Levels,699000,Bestseller
Complete PHP OOP Concepts for Absolute Beginners + Projects,Learn PHP OOP from Scratch: Object Oriented Programming Concepts with Examples and Projects. Learn PHP OOPS Guaranteed!,Srinivas Vanamala,4.5,344,10.5 total hours,180,Intermediate,149000,-
Angular JS Essentials,Learn Angular JS Step by Step,"Larry Chakir, Shahzaib Kamal",4.5,115,4 total hours,24,Beginner,149000,-
"Build an API from scratch with Python, Django, SQLite3",Create an API step by step,Bluelime Learning Solutions,4.5,160,2 total hours,26,Beginner,149000,-
Svelte.js & Firebase: Pokedex edition,Build step by step a web application with SvelteJS & Firebase,Guillaume Duhan,4.5,23,2 total hours,14,Beginner,149000,-
ASP.Net MVC Quick Start,"Build your own public-facing CRUD (Create, Read, Update, Delete) website w/MVC and Entity Framework in a weekend.",Brian Gorman,4.5,2023,13.5 total hours,127,Intermediate,149000,-
Advanced Ionic & Angular: 10 Techniques in Web Development,"Kubernetes, Docker, Notifications, Custom scripts, Background Tasks & More — take your web dev skills to the NEXT LEVEL!",J Preston,4.5,3,1.5 total hours,10,Expert,149000,-
Learn GLSL Shaders from Scratch,Bring your WebGL alive with custom shaders,Nicholas Lever,4.5,395,3.5 total hours,42,All Levels,149000,-
"Create Your First Website with HTML, CSS & JavaScript","Get started in Web Development quickly by creating a beautiful, responsive website with HTML, CSS & JavaScript",Danny Connell,4.5,130,2 total hours,46,Beginner,149000,-
Master Java Unit Testing with Spring Boot & Mockito,"Learn to write awesome Java JUnit unit tests with Spring Boot, Mockito, JsonAssert, Hamcrest & JsonPath in 40 easy steps",in28Minutes Official,4.5,3714,4 total hours,55,All Levels,149000,-
Learning BackboneJS Testing,An interactive guide to perform automated testing on BackboneJs applications with the help of a real-world example,Packt Publishing,4.5,11,2 total hours,31,Beginner,149000,Highest rated
Laravel 8 PHP Framework A - Z Build Professional Ecommerce,"In This Course, You Will Learn Laravel 8 Fundamentals and Build Two Different Ecommerce with lots of Advance Features","easy Learning, Kazi Ariyan",4.5,740,110.5 total hours,475,All Levels,149000,-
Top Node and Javascript Bundle: Learn Node and JS,Learn Node.js and Javascript the Fast and Easy Way With This Popular Bundle Course!,John Elder,4.5,179,8 total hours,100,Beginner,149000,-
Learn JavaScript for beginners,Explore the fundamental concepts of JavaScript and how to being adding JavaScript to your web pages,Laurence Svekis,4.5,637,1.5 total hours,21,Beginner,149000,-
"Full Web Development Course - HTML, CSS, Bootstrap and React","Learn web development with React JS, React Native, HTML, CSS, Bootstrap & more from with my web development course",Oak Academy,4.5,2,28 total hours,231,All Levels,149000,-
Top Ruby on Rails and Ruby Bundle: Learn Ruby and Rails,Learn Ruby on Rails and Ruby Programming The Fast and Easy Way!,John Elder,4.5,35,11.5 total hours,136,Beginner,149000,-
Node.js Design Patterns,Write efficient and resilient Node.js applications using industry-standard software design patterns,Packt Publishing,4.5,101,2.5 total hours,22,Intermediate,149000,-
DOM Commander JavaScript Project Course RealWorld JavaScript,JavaScript DOM Commander fun interactive web application that explores element manipulation all using JavaScript,Laurence Svekis,4.5,10,1 total hour,22,All Levels,149000,-
1 Hour HTML,Learn how to code in HTML in 1 hour. This class is set up for complete beginners!,John Bura,4.5,1814,1 total hour,20,Beginner,149000,-
Python Bootcamp 2021:Build 8 Real World Projects With Django,"Go From Beginner To Expert In Python: Develop Django Web Development Projects With PyQt5, SQLite & Deploy Applications",Sufa Digital Media,4.5,10,7.5 total hours,63,All Levels,149000,-
How Web Developers Make Passive Income with React JS?,Build a Crypto Currency Converter,Joe Santos Garcia,4.5,56,5.5 total hours,20,Beginner,149000,Highest rated
HTML5 and CSS3 From Scratch,Learn all the topics about HTML5 and CSS3 in one simple straight forward course,Victor Bastos,4.5,4,4.5 total hours,33,Beginner,149000,-
Practical Vue.js from Scratch to Troubleshoot,Faster web application development with Bootstrap 4 to apply it to rapid modern website design and development,Packt Publishing,4.5,3,11.5 total hours,112,Intermediate,149000,-
Object-oriented Programming in JavaScript,"Learn all about OOP, understand the most confusing parts of JavaScript and prepare for technical interviews",Mosh Hamedani,4.5,3085,4 total hours,64,Intermediate,149000,-
Build a Website / Blog in 3 Days With No Tech Training,Learn all of the skills you need to build an website / blog using Thrive Themes in this STEP BY STEP instructional,John Dionysiou,4.5,13,6 total hours,40,Intermediate,149000,-
"Build Amazing Websites w/ HTML, CSS, Sass, JavaScript & More","Learn how to build professional websites & become a front-end developer! [Includes 2 Web Projects, Flexbox, Grid, & SEO]","Juan E. Galvan, Nahid Akhter",4.5,1239,38.5 total hours,166,All Levels,149000,-
Gulp 4: Automate your development workflow,Automate your development processes with Gulp 4 toolkit,Sergey Shtyrlov,4.5,108,5.5 total hours,42,Beginner,149000,Bestseller
Create a Thriving Online Community Like Facebook With Joomla,"Social networks are great for connecting with others. Build your own community, monetize it and network with others.",Mathew Tamin,4.5,8,1.5 total hours,26,All Levels,149000,-
The Complete Web Developer Course 2.0,"Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!","Rob Percival, Codestars by Rob Percival",4.5,67971,30.5 total hours,307,All Levels,149000,-
"Node, SQL, & PostgreSQL - Mastering Backend Web Development","Boost your Node, Express, SQL, PostgreSQL and Backend Development Skills! NodeJS, Databases, Express, JS, ES6, + more!",David Joseph Katz,4.5,898,5 total hours,46,All Levels,149000,-
Consume Web API in ASP.Net Core MVC (step by step project),Consume CRUD API with ASP .NET Core 2.2 MVC using HttpClient and Entity Framework. Project-based learning.,Pavol Almasi,4.5,52,12.5 total hours,185,All Levels,149000,-
React Hooks Tutorial - Master React Hooks Development,"Master React Hooks the right way. Learn what they are, how they work under the hood, and why they're so revolutionary!",David Joseph Katz,4.5,370,5 total hours,46,Intermediate,149000,-
.NET 5 & .NET Core 3.1 Web API & Entity Framework Jumpstart,"Build the back-end of a .NET 5 or .NET Core. 3.1 web application with Web API, Entity Framework & SQL Server in no time!",Patrick God,4.5,1288,11 total hours,147,All Levels,149000,-
Introduction to jQuery with Visual Studio 2017 Community,Explore the Power of jQuery,A O,4.5,26,7 total hours,48,Beginner,149000,-
Google Spreadsheet API Apps Script and JavaScript,AJAX from your web application to Google Apps Script Web App API to get data from Google Spreadsheet,Laurence Svekis,4.5,22,1 total hour,20,All Levels,149000,-
Azure Serverless - Hands on Learning!,"Build secure serverless applications with Azure Function, Cosmos DB, API Management, Azure ADB2C and Azure Blob Storage",Cloud Shikshak,4.5,239,4.5 total hours,76,All Levels,149000,-
PHP for Beginners 2021 Part 3: How to Create a Website Login,Allow login to your website using a Google account. Every Line of code explained. Use the Google API. Retrieve user data,Patrick Morrow,4.5,37,1 total hour,13,All Levels,149000,-
JavaScript for Beginners,Follow these step-by-step tutorials to master JavaScript.,Ernest Jones,4.5,27,3.5 total hours,52,Beginner,149000,-
How To Push Django Python Apps To Heroku for Web Hosting,Hosting Django Apps In The Cloud,John Elder,4.5,79,2.5 total hours,37,Intermediate,149000,-
Vue js 2 Project - CMS and Shopping Cart,Learn how to use Vue js 2 practically by developing a project,Fast & Easy Programming,4.5,6,3.5 total hours,36,All Levels,149000,-
The complete React Fullstack course ( 2021 edition ),"Take you coding to the next level with React, Node js, Express, MongoDB and ES6",Coding Revolution,4.5,1049,77 total hours,460,All Levels,149000,-
"Responsive Website Built From Scratch HTML, CSS & Bootstrap","Learn to build responsive websites from start to finish, with no steps skipped!",Drew Ryan,4.5,296,4.5 total hours,36,All Levels,149000,-
PHP for Beginners : Learn PHP Programming From Scratch!,Learn the Basics and Fundamentals of PHP Programming! A Great PHP Course that you will Actually Learn to Code PHP!,"Oracle Master Training • 100,000+ Students Worldwide, Code Star Academy",4.5,40,3.5 total hours,59,All Levels,149000,-
Vue js 2 - Beginner to Developer,Learn Vue js 2 completely (including vue router and vuex) in just 8.5 hours,Fast & Easy Programming,4.5,10,8.5 total hours,88,All Levels,149000,-
CSS Grid & Flexbox - The Ultimate Course Build +10 Projects,Create Modern Web Layouts w/ CSS Grid & Flexbox While Building +10 Real World Projects - SASS & CSS Transitions Included,Juan Pablo De la torre Valdez,4.5,253,12 total hours,117,All Levels,149000,-
Angularjs Live Project,Angularjs full project end to end implementation for Asp.Net (MVC or Web APIs) developers with EF Code First approach,Manzoor Ahmed,4.5,186,6.5 total hours,46,Intermediate,149000,-
Advanced Python for Data Analysis,Master python with this course and learn how to build any python program with ease and use them in data analysis,Exam Turf,4.5,39,6.5 total hours,47,All Levels,149000,-
The Complete Nuxt.js & Vue.js Course | Self Promo App,Complete Developer Guide covering Vue.js and Nuxt.js basic to advance concepts. Get your hands on real projects.,"Eincode by Filip Jerga, Filip Jerga",4.5,186,41.5 total hours,247,All Levels,149000,-
Complete React Hooks Course 2021: A - Z ( Scratch to React ),"React JS Hooks way ( Latest & Comprehensive) : Redux , React Router, Testing with Jest, Build Component Library",Hemil Patel,4.5,946,8 total hours,57,All Levels,149000,Bestseller
Salesforce Developer Training with real-time project,"Salesforce Development: Learn apex, Visualforce and REST Webservices with this real-time project",Deepika Khanna,4.5,1730,4 total hours,44,All Levels,149000,Bestseller
Master Microservices with Spring Boot and Spring Cloud,"Go from Restful Web Services ( REST API ) to Microservices - Java , Spring Boot , Spring Cloud , Docker and Kubernetes",in28Minutes Official,4.5,29840,19.5 total hours,242,All Levels,149000,Bestseller
"Learn animation using CSS3, Javascript and HTML5",Master the art of animation for the web. Easy to follow videos. Source code included.,Matt Wallace,4.5,113,2.5 total hours,18,All Levels,149000,-
The Ultimate CSS - Best Practise on Animations & Effects,Brush up your CSS skills and dive in even deeper. EVERY web developer has to know CSS.,B Praveen Kumar,4.5,129,2.5 total hours,27,All Levels,149000,-
Intro to Flask,A short course that teaches you the fundamentals of Flask.,Anthony Herbert,4.5,320,1 total hour,8,Beginner,149000,-
Webpack 2: The Complete Developer's Guide,"Master Webpack 2 as you deploy web apps supported by Babel, code splitting, and ES2015 Modules.",Stephen Grider,4.5,4999,5.5 total hours,57,All Levels,149000,-
Adobe Experience Manager (AEM) Forms Developer Hands-on Labs,"Create AEM Form templates, Adaptive Forms, XDP Templates, Panels, Scripting, Rule Editor, Themes, DoRs with exercises",Jasvinder Singh Bhatia,4.5,57,2.5 total hours,37,All Levels,149000,-
Using TypeScript with React,Learn how to use TypeScript to build React projects (including Next.js and Apollo GraphQL).,Dmytro Danylov,4.5,935,13.5 total hours,86,Intermediate,149000,-
Javascript Specialist,Earn a Professional Credential while Learning Javascript Coding,"Framework Tech Media, Mark Lassoff",4.5,98,8 total hours,81,Beginner,149000,-
The Complete ServiceNow Developer Course,Learn how to develop on the ServiceNow platform!,"Mark Miller, Singa Code",4.5,3891,8.5 total hours,57,Intermediate,149000,Bestseller
Complete Angular course for 2020,Modern and latest Angular 9 with typescript and RxJS,Igneus Technologies,4.5,36,16 total hours,125,All Levels,149000,-
Professional CSS Flexbox,Learn how to build Web and Mobile Application Interfaces for the modern world!,Greg Bararaghimian,4.5,205,43 total mins,21,Intermediate,149000,-
Learn How To Design and Manage a Website,Ultimate Do-It-Yourself guide to website design and management,Manifest Company,4.5,8,1.5 total hours,28,All Levels,149000,-
Learn jQuery by Example Course,Introduction to the wonderful world of using jQuery to increase speed. Learn to power Dynamic and interactive web 2.0,Laurence Svekis,4.5,209,5.5 total hours,74,Beginner,149000,-
The Complete Python & Django REST API Development Bootcamp,"Create a stable and secure, production-grade REST API with Python, Django REST Framework, Google Cloud and Heroku",Hussain Mustafa,4.5,29,8 total hours,63,All Levels,149000,-
"Learn Basic HTML, CSS, Javascript/Typescript and React Fast","Learn the basics of Web Development Fast and save time with HTML, CSS, Typescript and React.",CodeBrains.IO Tech Training,4.5,50,2 total hours,37,Beginner,149000,New
Mastering ASP.NET Core MVC 3.1 & 5.0 From Scratch Using C#,Learn How to build Modern Web Applications using ASP.NET Core MVC - Step By Step,Kameswara Sarma Uppuluri,4.5,118,23 total hours,161,All Levels,149000,-
Advanced REST APIs with Flask and Python,Take your REST APIs to a whole new level with this advanced Flask and Python course!,"Jose Salvatierra, Teclado by Jose Salvatierra",4.5,729,12.5 total hours,133,Expert,159000,-
Django with React | An Ecommerce Website,"Build an eCommerce platform from the ground up with React, Redux, Django & Postgres","Dennis Ivy, Brad Traversy",4.5,839,18 total hours,84,All Levels,149000,-
This New PHP MVC AJAX Course Teaches You LOGIN+REGISTRATION!,By creating your own login and registration system with AJAX forms submissions and email activation using PHP and more.,Eduard Stefanescu,4.5,7,9.5 total hours,65,All Levels,149000,-
PHP MVC Framework CodeIgniter Tutorial for Beginners Project,"Learn how to use the Most Popular PHP MVC Framework and create the best applications, easily, securely and fast.","Edwin Diaz, Coding Faculty Solutions",4.5,1452,10.5 total hours,125,All Levels,149000,-
Build a Real-world App with ASP.NET Core and Angular 2 (4+),"Build a full-stack web app with ASP.NET Core, Entity Framework Core and Angular 2 (Angular 4+)",Mosh Hamedani,4.5,4542,10.5 total hours,162,Intermediate,149000,-
HTML5 Coding from Scratch - Build Your Own Website,HTML Course for Complete Beginners. Learn HTML and Create Your First Website in 2019.,Victor Gorinov,4.5,191,1 total hour,26,Beginner,149000,-
Beginning Responsive Web Development with HTML and CSS,Create websites that provide the best user experience for today's and tomorrow's devices,Packt Publishing,4.5,12,7 total hours,64,Intermediate,149000,-
Display and analyze GIS data on the web with Leaflet,Client side mapping applications with the open source javascript libraries Leaflet.js and Turf.js,Michael Miller,4.5,581,13.5 total hours,71,Intermediate,149000,Bestseller
The Complete WordPress Membership Course - Build 2 Websites,Learn how to build two different types of complete membership websites with LearnDash & the Memberships Pro plugins,Alexander Oni,4.5,42,8.5 total hours,82,All Levels,149000,Bestseller
Creating a Calculation Tool with AngularJS 1.x,"Learn to conceive, calculate, design and script a custom calculation tool for your web site.",Chris Converse,4.5,33,1.5 total hours,23,All Levels,149000,-
Django 2.2 & Python | The Ultimate Web Development Bootcamp,"Build three complete websites, learn back and front-end web development, and publish your site online with DigitalOcean",Nick Walter,4.5,5385,10 total hours,78,Beginner,149000,-
"Java, PHP and MySQL Bundle",Learn and master these technologies,Harshit Srivastava,4.5,23,6.5 total hours,54,All Levels,149000,-
"Build A Custom Dynamic Blog Website with PHP, MySQL & Jquery","Learn the skills used in web development like creating major web projects, platforms and applications",Parth Modi,4.5,106,6 total hours,29,All Levels,149000,-
Create A New Tab Override Chrome Extension,"Learn how to create a new tab override Chrome extension using HTML, CSS & Javascript",Zulhilmi Zainudin,4.5,17,1 total hour,9,Intermediate,149000,-
Build LUIS Powered Chatbot in NodeJS and Azure Bot Service,"Build natural language powered chatbots with NodeJS, Azure Bot Framework and LUIS; Integrate it with Facebook and Skype",Jagadish Gopalakrishnan,4.5,147,2 total hours,7,Intermediate,149000,-
"Complete Web Design Course: HTML, CSS, Javascript and jQuery",4 Courses in 1! From complete beginner to advanced. Learn Webdesign and Become a Professional Front End Web Developer!,Ivan Lourenço Gomes,4.5,297,20.5 total hours,123,Beginner,149000,-
Full Stack Development With Spring Boot and AWS-RDS + Heroku,"Amazon Web Services, Heroku Deployment via Github, MySQL, RDS, Rest, MVC, Hibernate, Jpa/Crud Repository,VPC Security",Senol Atac,4.5,1,1.5 total hours,28,All Levels,149000,-
Object Oriented php: build real world project using OOP,"Take your programming skills to the next level, learn to write reusable code with object oriented php",Ela Eli,4.5,1,3.5 total hours,37,All Levels,149000,New
WordPress Tutorial For Beginners | How to Create a Website?,Learn how to create a website from scratch,"Dinesh Kumar VM, ClickDo Ltd",5.0,2,1 total hour,12,Beginner,0,New
PSD to HTML5 + Bootstrap: A Complete Guide,PSD to HTML5 is a modern way of converting PSD to html5. Learn how to convert PSD to Responsive Website using Bootstrap.,Vipin Singh,4.5,1,7.5 total hours,111,All Levels,149000,-
Web Development Interview Questions,2020,Anant Rungta,4.5,2,-,-,All Levels,149000,-
Advanced Theoretical JavaScript: Learn Advanced JS Concepts,"Get the fundamental understanding of JavaScript, its origin and Event loop - the async model of how JavaScript works",Mehul Mohan,4.5,1,2 total hours,24,Intermediate,149000,-
E-commerce site KinoMania –PHP Dynamically Displayed Data,retrieve data from the server and displayed on the browser along with all the functionality,Asen Petrow Lozanov,4.5,1,10 total hours,29,All Levels,149000,-
HTML & CSS Full Course: From Beginner To Pro,Become a HTML and CSS warrior with a single course,Faith Nwabuisi,4.5,1,4.5 total hours,24,All Levels,149000,New
The Basics Of Building A Website Using Wix,Learn how to create a website on the Wix platform using their drag and drop system: no code needed,Michelle Oliva,4.5,1,3.5 total hours,19,All Levels,149000,-
API Evolution and Automation - A walk through,A brief introduction into world of API,Agile Testing Alliance Org,5.0,2,1 total hour,5,Beginner,0,-
Elementor Essentials For Beginners,Get Started with Elementor Page builder for WordPress,Kwehangana Hamza,4.5,1,1 total hour,12,Beginner,149000,-
"DJANGO EASY COURSE, BUILD BLOG WEB APPLICATION with DEPLOY!",WE WILL TEACH YOU FROM SCRATCH TO THE ADVANCED LEVEL OF WEB APPLICATIONS WITH PYTHON 3 AND DJANGO,"StudyEasy Organisation, Chaand Sheikh",4.5,1,9.5 total hours,145,Beginner,149000,-
Creating apps using React and CosmosDB,Create Web Apps using React and CosmosDB,SkillBakery Studio,5.0,2,38 total mins,11,All Levels,0,-
Master the MERN STACK - by building a project!,Master the MERN STACK by creating a project,Odysseas kolas,4.5,1,6 total hours,25,All Levels,149000,-
The WordPress MCQ practice test for developers,Improving your skills | All topics included | Practical exercises | Explanations,"WebTech Studies, Frahaan Hussain",4.5,1,-,-,All Levels,149000,-
How to Create an Ecommerce Website with Wordpress - PART 2,Create An eCommerce Website From Scratch With No Experience! - Top Rated Instructor,Wordpress Guru,5.0,4,2 total hours,22,All Levels,0,-
Build a Cryptocurrency Web App Using Vanilla Javascript,Create Cryptocurrency Web App in Javascript,Mustafa Alawi,4.5,1,1 total hour,22,Intermediate,699000,-
Laravel 8.X e-commerce VS React Js e-commerce with stripe,"Learn the basics of ReactJS, Laravel and build a web application with Stripe API from scratch.",Héritier N'kele N'kele,4.5,2,37.5 total hours,221,All Levels,149000,-
"Richard Stibbard's ""jQuery UI Interfaces"" - A mini course",A series of mini-projects showing how to build various styles of AJAX-driven jQuery user interfaces.,Richard Stibbard,4.9,54,1 total hour,7,Beginner,0,-
WordPress 101: A Complete Beginners Guide to WordPress,Learning how to build websites and blogs with WordPress,Martie Dread,4.9,263,1 total hour,16,Beginner,0,-
Code a 'Coming Soon' Landing Page in Bootstrap 4,Build your 'under construction' or 'coming soon' landing page with countdown clock in bootstrap 4,Andy Clarke,4.9,1214,1.5 total hours,18,All Levels,0,-
GraphQL from Ground Up,Learn GraphQL by building a fully-featured API with Node.js.,Chimezie Enyinnaya,4.9,38,4 total hours,45,Beginner,0,-
Master WordPress Plugins: Shortcodes Ultimate - The Basics,Learn how to create awesome looking WordPress pages & posts without any coding. This is the basic course.,Bruce Chamoff,4.9,225,1 total hour,19,All Levels,0,-
Learn Django by building a stock management system - Part 3,Django Framework,Abdourahman Badjie,4.9,6,2 total hours,9,Beginner,0,-
"Creative CSS Latest IDEAS, Clip-path, Wave Effects & MORE","Master Advanced CSS Animations, Transitions and Transforms And Practice With More & More Practise",B Praveen Kumar,4.9,43,1 total hour,12,All Levels,0,-
Learn Django by building a stock management system - Part 2,Django Framework,Abdourahman Badjie,4.9,11,2 total hours,16,Beginner,0,-
How to Set Up a Self-Hosted Wordpress Website in 30 Minutes,How to set up a WordPress blog/website with custom domain name and hosting in 30 mins. No coding or experience required.,Hoku Ho,4.9,411,32 total mins,13,Beginner,0,-
CSS : CSS Awesomeness,Learn To Write CSS the awesome way!,Gilad Tsur Mayer,4.8,185,42 total mins,20,Beginner,0,-
Fundamental SVG for Beginners (Free for a while!),Fundamental SVG training without CSS and Javascript,LearVG . . .,4.8,8,1 total hour,19,Beginner,0,-
HTML Basics,Learn the absolute basics of HTML and create your own profile with these 11 short videos.,ColorCode .io,4.8,134,1 total hour,11,All Levels,0,-
Capacitor Crash Course: Learn to use Capacitor with Ionic,"Build Cross Platform Apps for the Web, iOS & Android",Simon Grimm,4.8,33,1 total hour,5,Beginner,0,-
Create Telegram bot with NodeJS and Firebase Cloud Functions,Create a Weather Telegram Bot using NodeJS and Firebase Cloud Functions,Roman Akhromieiev,4.8,423,30 total mins,11,All Levels,0,-
Sending Mail in PHP using PHP MAILER,Send Mail in PHP using PHP Mailer,Peterson Fredrick,4.8,69,1.5 total hours,9,Beginner,0,-
Build An eCommerce Site With WooCommerce and WooLentor,Learn how to build a professional eCommerce store using WordPress WooCommerce & Elementor using all the best free tools,HasThemes Academy,4.8,109,2 total hours,26,Beginner,0,-
Learn How to make the Cleaning Company website via Wordpress,How to make the Cleaning Company website via Wordpress,Gazanfar Ali,4.8,2,36 total mins,7,Beginner,0,-
"Richard Stibbard's ""MySQL/PDO Connection"" - A mini-course",A series of mini-projects showing how to connect to a MySQL database using PDO (PHP Data Objects) in PHP.,Richard Stibbard,4.8,112,35 total mins,9,Beginner,0,-
WordPress (Version 5.8) for Beginners Updated May 2021,Learn the Latest Version Of WordPress 5 quickly here.,KC Tan,4.8,418,1.5 total hours,34,All Levels,0,-
PHP - Advanced Features,Learn some of Advanced Features of PHP,Edwin Diaz,4.8,397,40 total mins,9,All Levels,0,-
How to Make a Food Ordering Restaurant Website in WordPress,Setup a Commission-Free Food Ordering Website (Real-Time App Notifications),Hogan Chua,4.8,68,2 total hours,16,Beginner,0,-
Learn HTML5 Programming - Absolute Zero to Hero,Learn HTML5 Compeletely From Beginner to Advanced - a Complete Course to Entering the Web Development World,Alex Garden,4.8,2,2 total hours,43,Beginner,0,-
Learn to Deploy Containers on AWS in 2021,How to deploy containers on Amazon ECS,Manoj Fernando,4.8,53,42 total mins,20,Beginner,0,-
Laravel Homestead,Learn to install and use Laravel Homestead,"Edwin Diaz, Coding Faculty Solutions",4.8,2275,2 total hours,14,Beginner,0,-
How to Make a Lawyer Website for Law Firms Quickly,Learn WordPress Basics While Making a Legal Website,Tom Johnson,4.8,19,1 total hour,11,Beginner,0,-
Introduction to JavaScript Development,In this course we’ll introduce you to the basics and show you how to get started integrating JS in your applications!,RefactorU LLC,4.8,2133,40 total mins,19,Beginner,0,-
How to MAKE a WordPress Website - ASTRA - (PART 2),Create a WordPress Website Step by Step - DRAG AND DROP,Wordpress Guru,4.8,2,1 total hour,7,All Levels,0,-
Publish Websites with WebHostingSquared,How to put your website on the internet with a .com web address!,Jeremiah F,4.8,30,32 total mins,8,Intermediate,0,-
React Progressive Web App With Workbox and Webpack Tutorial,Learn how to create a React PWA app from scratch with Workbox,Imran Sayed,4.8,17,2 total hours,13,Beginner,0,-
PHP Login and Registration System,PHP Login and Registration System,kagaya john,4.8,25,2 total hours,23,Beginner,0,-
Learn HTML in details for beginners,"In-depth HTML course with all tags included, and some basic Javascript scripts!",Elias Maalouf,4.7,47,1.5 total hours,88,All Levels,0,-
Complete jQuery plugins for Beginners in 45 minutes.,Become a Web designers with jQuery Pro.,Upul Wijerathne,4.7,2,1 total hour,18,Beginner,0,-
Introduction to Voice Design with Amazon's Alexa,Learn how to build natural user interfaces,Amazon Alexa,4.7,1774,41 total mins,6,Beginner,0,-
How to Migrate Your Access Database to the Cloud With Caspio,This course will teach you how to create a website application using Caspio's point-and-click user interface,Ned Pajic,4.7,49,1 total hour,5,Beginner,0,-
Introduction to Caligrafy - Your PHP Framework,Build your application from the ground up,Dory Azar,4.7,24,13 total hours,16,All Levels,0,-
"Free SSL Certificate - Comodo SSL for free forever, https://","Get premium comodo ssl certificate for your wordpress websites for free forever, the complete cloudflare system course.",Ahmad Shah Adami,4.7,1867,35 total mins,7,All Levels,0,-
CSS Basics,Learn the basics of styling with these core CSS concepts in 13 short videos,ColorCode .io,4.7,76,1 total hour,13,Beginner,0,-
How to Create a Stunning Website for Free with Google Sites,Quick and easy learning how to use Google Sites to create professional sites.,Anton Cristian,4.7,76,1 total hour,8,Beginner,0,-
Getting Started with TypeScript // A Javascript Compiler,Learn the Technology behind the Microsoft-created Javascript Compiler,Justin Mitchel,4.7,446,1 total hour,11,Beginner,0,-
Infinite Scroll Project AJAX MySQL API PHP jQuery,Explore how to create a web application that sends requests to the server for additional data as users scroll the page,Laurence Svekis,4.7,288,1.5 total hours,20,Beginner,0,-
A how to guide in HTML,Learn the language of the web in a quick and accessible way from ground up.,Syed Mujtaba,4.7,989,35 total mins,8,Beginner,0,-
How to Make a WordPress Website - Step by Step for Beginners,Create an AMAZING website in under 2 hours!,Hogan Chua,4.7,52,2 total hours,16,Beginner,0,-
HTML and CSS Foundations,A super quick introduction to HTML and CSS,Michael Leung,4.7,1836,1 total hour,29,Beginner,0,-
Wallpaper Engine: Build a minimal datetime wallpaper with JS,Learn how to build a minimalistic time and date live wallpaper for the Wallpaper Engine program.,Dino Numić,4.7,12,44 total mins,12,All Levels,0,-
CSS Flexbox - Mastering the Basics,For Beginners,Vishwas Gopinath,4.7,2185,1.5 total hours,22,Beginner,0,-
HTML Canvas Crash Course for Beginners,"How to use HTML, CSS and vanilla JavaScript to create beautiful interactive animations for your website.",Frank Dvorak,4.7,32,1 total hour,12,Beginner,0,-
React Basics for Beginners,React Components and JSX,Web University by Harsha Vardhan,4.7,84,2 total hours,16,Beginner,0,-
"Angular, React and Vue 3 Translations (i18n)","Angular 10 using ngx-translate, React 16 with typescript using react-i18next, Vue 3 with typescript using vue-i18n",Antonio Papa,4.7,59,44 total mins,5,Beginner,0,-
Drupal 8 Site Building,Learn how to build powerful and flexible websites using Drupal 8,"Ivan Zugec, WebWash Pty Ltd",4.7,876,5 total hours,55,Intermediate,0,-
Learn how to create a WordPress theme using Pinegrow,From your HTML template to a fully functional WordPress theme.,ARNOUD Emmanuel,4.7,336,2 total hours,19,Intermediate,0,-
Build Your First Glass Web App Theme With HTML5 And CSS3,A complete step by step code along series to help you deisgn the most prettiest glass footer with HTML5 and CSS3,Hini Majesty,4.7,231,2.5 total hours,25,All Levels,0,-
"Real Time Chat With Laravel Broadcast, Pusher and Vuejs",Learn how to broadcast and receive message without refreshing your page. Learn it to Enhance your coding skill,Sarthak Shrivastava,4.7,776,3 total hours,11,Intermediate,0,-
Develop Enterprise Web Apps using Neutrinos Platform Part 1,This course will provided web application development guidelines and methodologies using Neutrinos Platform,Neutrinos Instructor,4.7,3,2 total hours,13,Beginner,0,-
Spring Boot and AWS S3,Learn How To Upload Images and Files to S3 buckets,Nelson Jamal,4.7,225,2.5 total hours,26,All Levels,0,-
Host Unlimited Websites on Cloud server with VestaCP,"Learn to create your own web hosting on cloud to host websites, email accounts, Wordpress, CMS and many more",Dhiraj Rahul,4.7,4,1 total hour,14,Beginner,0,-
WordPress for Beginners - Learn How to Create a Blog,"How to use WordPress in 2020, step by step course for beginners.",Gvidas Maskoliunas,4.7,41,1.5 total hours,20,Beginner,0,-
